Titulo,Artista,Album,Ano,Letra
Me Deixa (Part. Falcão),Charlie Brown Jr,Música Popular Caiçara - Ao Vivo,2012,"Pode avisar, podem avisar Invente uma doença que me Deixe em casa pra sonhar Com o novo enredo outro dia de folia Com novo enredo outro dia de folia Eu ia explodir Eu ia explodir Mas eles não vão ver os Meus pedaços por aí Me deixa que hoje eu to de Bobeira, bobeira Me deixa que hoje eu tô de Bobeira, bobeira La la la.. Hoje eu desafio o mundo Sem sair da minha casa Hoje eu sou um homem mais justo E mais sincero comigo Hoje eu desafio o mundo sem sair da minha casa Hoje eu sou um homem mais justo e Mais sincero comigo Podem os homens vir que não vão me abalar Os cães farejam o medo, Logo não vão me encontrar Não se trata de coragem Mas meus olhos estão distantes Me camuflam na paisagem Dando um tempo, tempo, tempo Pra cantar Me deixa, que hoje eu tô de Bobeira, bobeira Me deixa, que hoje eu tô de Bobeira, bobeira Me deixa, vê se me deixa, Que hoje eu to de bobeira, Bobeira, bobeira"
Me Encontra,Charlie Brown Jr,Música Popular Caiçara - Ao Vivo,2012,"Hoje eu vou sair para encontrar o amor Espero a tanto tempo, ainda não rolou O vento diz que é hoje em meio à multidão Que eu vou encontrar a dona do meu coração. Aí sempre Sorrir, chorar e ter alguém pra compartilhar sempre Viver para alguém que me ama e dividir sempre Felicidade e amor. Então me encontra ou deixa eu te encontrar Me encontra ou deixa eu te encontrar x3 Eu não conheço todas as flores, Mas vou mandar todas que eu puder Vivemos tempos de loucos amores Só é feliz quem sabe o que quer Me encontra ou deixa eu te encontrar x3 Fico pensando onde está você E se você estaria pensando em me encontrar Como sou, onde estou e onde quero chegar Como sou, como é que vai ser e onde vou te levar Mas se você me ver pode acenar pra mim Já pensou que louco te encontrar assim? Eu vou na boa, eu vou na fé, eu sei que vou te encontrar E quando eu te encontrar nós vamos comemorar Me encontra ou deixa eu te encontrar x4 Te encontrar"
Menina Linda (Mega Special Girl),Charlie Brown Jr,,,"Deus me abençoou e me deu um dom Pra essa menina linda vou escrever um som Meu coração que bate aqui é dela, Ela continua linda, ela continua bela! Eu perguntei tá tudo bem? Ela sorriu, disse que sim, Tá tudo bom pra ela, então tá tudo bom pra mim! Esqueça tudo e me beije, Como há muito tempo eu sonho, Me dê você de presente Faça dessa noite um sonho! Pois, Não existe nada melhor, x2 E se existia, não existe mais Eu vôo sem perder de vista o que pra mim é imprescindível A minha Mega Special Girl, o meu sonho mais incrível, imperdível! Ela é mais do que eu possa dizer, ela é a menina mais Incrível desse mundo! Já faz um tempo que eu gosto dela, Ela continua linda, ela continua bela! Eu perguntei tá tudo bem? Ela sorriu, disse que sim, Tá tudo bom pra ela, então tá tudo bom pra mim! Vem ser minha, vem ser minha namorada, Vem ser minha, vem ser minha gata! Esqueça tudo e me beije, Como há muito tempo eu sonho, Me dê você de presente Faça dessa noite um sonho! Pois, Não existe nada melhor, x2 E se existia, não existe mais Eu sigo calmo, seguro, tranquilo! Ir com ela pra uma night muito boa! Mais antes eu vou janta, vou toma um vinho, Fuma beck no meu carro novinho! Já faz um tempo que eu gosto dela, Ela continua linda, ela continua bela! Eu perguntei tá tudo bem? Ela sorriu, disse que sim, Tá tudo bom pra ela, então tá tudo bom pra mim! Vem ser minha, vem ser minha namorada, Vem ser minha, vem ser minha gata!"
Meu Novo Mundo,Charlie Brown Jr,La Familia 013,2013,"Como se o silêncio dissesse tudo Um sentimento bom que me leva pra outro mundo A vontade de te ver já é maior que tudo Não existem distâncias no meu novo mundo Tipo coisas da sétima arte Aconteceu sem que eu imaginasse Sonho de consumo cantar na sua festa Vem dançar comigo Aproveita e me sequestra Amor vagabundo, intenso ou muita pressa Não sei como termina mas sei como começa Fiz essa canção pra dizer algumas coisas Cuidado com o destino Ele brinca com as pessoas Tipo uma foto com sorriso inocente Mas a vida tinha um plano e separou a gente Mas se quem eu amo tem amor por mim Se quem eu amo tem amor por mim Eu sei que ainda estamos muito longe do fim A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo Fiz essa canção pra dizer algumas coisas Cuidado com o destino Ele brinca com as pessoas Tipo uma foto com sorriso inocente Mas a vida tinha um plano e separou a gente Mas se quem eu amo tem amor por mim Se quem eu amo tem amor por mim Eu sei que ainda estamos muito longe do fim A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo A vontade de te ver já é maior que tudo E não existem distâncias no meu novo mundo"
Molengol's Groove,Charlie Brown Jr,Transpiração Continua Prolongada,1997,instrumental
Muito Antes Que Você,Charlie Brown Jr,Preço Curto... Prazo Longo,1999,"Muito antes que você - Charlie Brown Jr  Olhou pra mim me deixou em estado de prontidão Falou por mim mas ficou bem claro é o meu sonho em vão Quem tem dúvida não encara os fatos fica ligeiro porque eu estou ligado Ô meu cupade! Tu não tá mais só na situação... Se liga ladrão no que eu vou lhe dizer Quem vacila nessa porra cá pra nós aqui é voçê Vão te influenciar nem tão pouco te esconder por que eu ando nessa porra muito antes que você Desde de pequeno hipnotizado a alinhar o ""trom"" Sergion, Ibira, Santos, São Caetano e São Bernadon Quem tem dúvida não encara os fatos Fica ligeiro porque eu tô ligado Ó meu cumpade Tu não tá mais só na situação... Desistir jamais, desistir jamais Desistir jamais, desistir jamais Tão cansado de falar! Quem tem dúvida não encara os fatos Fica ligeiro porque eu tô ligado Ó meu cumpade Tu não tá mais só na situação... Isso não sai não..."
Mundo Deserto,Charlie Brown Jr,Regravação de Erasmo Carlos,,"Hey! Original Rude Boy Skateboard Vibration! Charlie Brown! Num mundo deserto de almas negras Eu me visto de branco Me curo da vida, sentida e sofrida É o que deram pra mim Num mundo deserto de almas negras Meu sorriso não nega Mas, às vezes há um só cego Querendo queimar o que resta de mim Por isso eu vivo Num mundo deserto de almas negras Eu vivo num mundo deserto de almas negras Eu vivo num mundo deserto de almas negras Eu vivo num mundo deserto de almas negras Na bondade da verdade Eu quero ficar E não acredito no dito maldito Que o amor já morreu Tenho fé que o meu país Ainda vai dar amor pro Mundo Num amor tão profundo, tão grande Que vai reviver quem morreu Por isso eu vivo Num mundo deserto de almas negras Eu vivo num mundo deserto de almas negras Eu vivo num mundo deserto de almas negras Eu vivo num mundo deserto de almas negras Num mundo deserto de almas negras Eu me visto de branco Me curo da vida, sentida e sofrida É o que deram pra mim Num mundo deserto de almas negras Meu sorriso não nega Mas, às vezes há um só cego Querendo queimar o que resta de mim Por isso eu vivo Num mundo deserto de almas negras Eu vivo num mundo deserto de almas negras Eu vivo num mundo deserto de almas negras Eu vivo num mundo deserto de almas negras Faça o que venha Do Surf, faça o que venha do Skate Faça o que venha do coração Faça o que venha da mente Na bondade da verdade Eu quero ficar E não acredito no dito maldito Que o amor já morreu Tenho fé que o meu país Ainda vai dar amor pro Mundo Num amor tão profundo, tão grande Que vai reviver quem morreu Por isso eu vivo Num mundo deserto de almas negras Eu vivo num mundo deserto de almas negras Eu vivo num mundo deserto de almas negras Eu vivo num mundo deserto de almas negras"
My Mini Ramp,Charlie Brown Jr,Bocas Ordinárias,2002,"I love my mini ramp Stay away from my mini ramp Stay way from my mini ramp I love you baby I love you so much I think one day I'm gonna touch you I'm not a part of the world That you're living it You're just a part of What you gave to yourself What's the matter with me What's the matter with me Don't you like, I can see your noni Don't you like the way? Why am I stay away? Let's shake all the parts That you have in your home"
Na Palma da Mão (o Ragga da Baixada),Charlie Brown Jr,Imunidade Musical,2005,"Licença aqui rapaziada que eu não vou jogar conversa fora Tá de chapéu quem pensar que eu tô chegando agora Não sou o dono da verdade, só vim pra te dizer Que prevaleça a humildade e o proceder Bate na palma da mão - salve rapaziada Bate na palma da mão - se liga na parada Bate na palma da mão - salve rapaziada Bate na palma da mão - conexão baixada Salve a família que canta, que trinca, que chega chegando e que fecha com ""nóis"" Pros aliado lado a lado que conhece a voz Um salve pra toda a rapa Um salve pra família, viva os original Salve Salve, minha gente, viva todas as quebrada Um salve pra baixada e pra família Charlie Brown E não se esquece que os esperto anda pra frente Em linha reta de boca fechada Pra não erra, pra não paga rajada Pois malandro verdadeiro ""dichava"" um do bom e na geral só deixa o cheiro Meu povo quer emprego com dignidade e é tratado como marginal O tal motivo de ""nóis"" tá sentado no canal Pow, pow, pow no sistema que de braços cruzados nos obriga a viver esse dilema Respeito todo mundo que me trata com respeito e tal Salve Salve molecada que ainda tá com Charlie Brown Porque o malandro verdadeiro sabe que o respeito Vem na frente do dinheiro Então Olha a família que chega chegando Que canta, que trinca, que fecha com ""nóis"" Os aliado lado a lado que conhece a voz Porque a humildade vem primeiro A família é grande eu tenho irmão no mundo inteiro Então Bate na palma da mão... Sou como sou, estou muito bem assim I'm a Hustler, baby Do you know What I mean ? chorãoskatevibe.com.br Eu faço minha festa no estilo Puff Daddy Tipo do lunático que faz acontecer Sou que fiz, sou quem faz, sou quem vai fazer Na minha rua aí não tem caroço A quem eu amo, eu não dou desgosto Filha da Puta a vida dá o troco Eu sou pacato, mas sou muito louco Bate na palma da mão...  (postado por Lima)"
Nada é Impossível (feat. Pregador Luo),Charlie Brown Jr,,,"Com os olhos de quem quer ter uma oportunidade Com os olhos de quem quer ter uma vida de verdade Assim que eu olho, assim que eu vejo Grande eu penso, grande almejo Com os olhos de quem quer ter uma oportunidade Com os olhos de quem quer ter uma vida de verdade É Assim que eu olho, assim que eu vejo Grande eu penso, grande almejo Quem ousou conquistar e saiu pra lutar Chega mais longe tem gente que nem quis tentar Multiplica seus talentos não enterra não Se não na hora da verdade vai ser mó decepção Tem que correr, tem que superar Pode doer não vou brecar Minha ordem e progresso deixa que eu mesmo faço Boto fé em Jah e força nos meus braços As muralhas que eu puder eu mesmo derrubo Aquelas que não der Deus põe no chão pra mim Sem preconceito, nem racismo Nem inveja nada me para antes do fim Nem olho gordo, nem conspiração Patifaria bate na minha porta vem cai no chão Eu chuto pra longe toda a má vibração (vibração) Eu sou mais que vencedor Nada nessa vida é impossível pra mim Eu nasci pra conquistar Nada nessa vida é impossível pra mim Nada, nada nessa vida é impossível pra mim Impossível é uma palavra muito grande Que gente pequena usa pra tentar nos oprimir Impossível é uma palavra muito grande Que gente pequena usa pra tentar te oprimir Impossível é uma palavra muito grande Que gente pequena usa pra tentar nos oprimir Impossível é uma palavra muito grande Que gente pequena usa pra tentar te oprimir Mas a vida ensina, só eu sei o que passei A vida não é fácil mas eu tô ligado eu sei Eu sigo meu caminho tô firmão tô ai Não há nada nessa vida que me faça desistir São várias fitas e só segura quem é nobre Força de vontade e pensamento forte Erga a mão pro alto e faça diferença Fique sempre em paz com a sua consciência No caminho certo em direção ao futuro Cantando com alma e sentimento puro Música e cultura pra fugir da miséria Uma das poucas opções porque aqui a coisa é séria Você é o maçarico eu vou deixar a chapa quente Eu tenho fé em Deus e o poder da minha mente A mil e Mille anos tamo aí virando a mesa Carta na manga pro elemento surpresa Se disserem pra você que você não vai conseguir Deixa pra lá, deixa falar, deixa sorrir Já disseram isso pra mim e hoje eu tô com o microfone Porque a vida da o caminho pro sujeito homem Impossível é uma palavra muito grande Que gente pequena usa pra tentar nos oprimir Impossível é uma palavra muito grande Que gente pequena usa pra tentar te oprimir Impossível é uma palavra muito grande Que gente pequena usa pra tentar nos oprimir Impossível é uma palavra muito grande Que gente pequena usa pra tentar te oprimir Mas a vida ensina só eu sei o que passei A vida não é fácil mas eu tô ligado eu sei Eu sigo meu caminho firmão tô ai Não há nada nessa vida que me faça desistir São várias fitas e só segura quem é nobre Força de vontade e pensamento forte Então erga a mão pro alto faça diferença Fique sempre em paz com a sua consciência No ringue, na pista ou na vida Eu sou especialista nós aqui não brinca Só espartano que não foge do bang Então cola com nós e aumenta a gangue No ringue, na pista ou na vida Eu sou especialista nós aqui não brinca Só espartano que não foge do bang Então cola com nós e aumenta a gangue Bang Bang Bang Bang Cola com nós e aumenta a gangue Bang Bang Bang Bang Cola com nós e aumenta a gangue Quem melhor, do quem levou na pele Pra poder falar pro povo que ainda há uma solução Quem melhor, do que nossa gente unida Pra estancar essa ferida da discriminação Quem melhor, do que os filhos da miséria No farol a sua espera pra te deixar sob tensão Quem melhor, do que do que"
Não Deixe o Mar te Engolir,Charlie Brown Jr,Preço Curto... Prazo Longo,1999,"Come on,come on,come on,yeah Charlie Brown Jr. Eles não entendem não vão descobrir Dominado pela má vontade Tira esse cara de perto de mim Meu compadre,o que tu faz não presta a ninguém Ninguém vai consumir Não se queixe da falta do peixe Não deixe o mar te engolir yeah Não deixe o mar te engolir Não deixe o mar te engolir Não deixe o mar te engolir Não deixe o mar te engolir Acabei de ver mais um cachorro na estrada dor de cabeça garganta ressecada sinto saudades da minha família mas a vontade de tocar e crescer é mais forte é mais forte em mim agora o bom é saber que não se pode entender se perder e se achar prá poder se entender tem que saber chegar tem que esperar sua vez tem que saber chegar tem que esperar sua vez Não deixe o mar te engolir Não deixe o mar te engolir Não deixe o mar te engolir Não deixe o mar te engolir Se você busca um algo mais eu tambem não tenho a solução mas o que eu posso te garantir é que nada se constrói parado irmão Ouviram os tiros, ouviram os gritos todos pensaram que ele havia morrido os meus olhos se fechavam pensamentos se voltavam para um homem que ganhava os jornais mas perdia a sua alma Ouviu-se o estouro da champanhe francesa? lagosta, caviar, cocaína sobre a mesa eu nao te vi, tu não me viu porque eu estava bem mais perto do que aquele que pensava que era mais esperto do que eu ha ha você sorri você diz que a vida é bela mas quem anda por aqui conhece o tranco da favela meu escritório é na praia eu tô sempre na área mas eu não sou da sua laia seu cuzão quem corre atraz tá ligado qual é o preço não cresce o olho no que é dos outros não é só mais um sonho que eu vivo na estrada se não souber de rima aqui não é nada Não deixe o mar te engolir Não deixe o mar te engolir Não deixe o mar te engolir Não deixe o mar te engolir ouviu-se o nome conhecido sobre novas idéias cinco caras de Santos partem a nova era toda noite toda parte a galera vem mostrar qual é a arte qual é a arte então yeah sua própria vida lhe ensinou a caminhar com as próprias pernas resta agora você se livrar do mal que te corrói e te destrói yeah é preciso combater os inimigos que tambem são internos porque somos adultos mas quase sinceros Charlie Brown Jr."
Não É Sério,Charlie Brown Jr,Música Popular Caiçara - Ao Vivo,2012,"Eu vejo na Tv o que eles falam sobre o jovem não é sério O jovem no Brasil nunca é levado a sério Sempre quis falar Nunca tive chance Tudo o que eu queria Estava fora do meu alcance Sim, já Já faz um tempo Mas eu gosto de lembrar Cada um, cada um Cada lugar, um lugar Eu sei como é difícil Eu sei como é difícil acreditar Mas essa porra um dia vai mudar Se não mudar, pra onde vou... Não cansado de tentar de novo Passa a bola, eu jogo o jogo 3x Eu vejo na Tv o que eles falam sobre o jovem não é sério O jovem no Brasil nunca é levado a sério A polícia diz que já causei muito distúrbio O repórter quer saber porque eu me drogo O que é que eu uso Eu também senti a dor E disso tudo eu fiz a rima Agora tô por conta Pode crer que eu tô no clima Eu tô no clima, eu tô clima Eu tô no clima, segue a rima Revolução na sua mente você pode você faz Quem sabe mesmo é quem sabe mais Revolução na sua vida você pode você faz Quem sabe mesmo é quem sabe mais Revolução na sua mente você pode você faz Quem sabe mesmo é quem sabe mais Também sou rimador, também sou da banca Aperta um do forte que fica tudo a pampa Eu to no clima! Eu to no clima ! Eu to no clima Segue a Rima! (repete tudo) Sempre quis falar.... ""O que eu consigo ver é só um terço do problema É o Sistema que tem que mudar Não se pode parar de lutar Senão não muda A Juventude tem que estar a fim, Tem que se unir, O abuso do trabalho infantil, a ignorância Só faz destruir a esperança Na Tv o que eles falam sobre o jovem não é sério Deixa ele viver! É o que Liga."""
Não Fure Os Olhos da Verdade,Charlie Brown Jr,Bocas Ordinárias,2002,"Não fure os olhos da verdade - Charlie Brown Jr Tiro de traçante No silêncio da noite, maurícios e patrícias, seguidores da onda, iludidos da vida. Eu estava cansado procurei uma saída, porque a noite não muda ela só se recicla. Ser punk não é isso, é muito mais que isso, ser punk é ter atitude, quem é punk sabe disso. O rap não é viagem,o rap é compromisso, se liga na missão, porque senão fica esquisito. Se for fazer uma coisa faça com vontade, seja você não fure os olhos da verdade. Se for fazer uma coisa tenha personalidade, seja você não fure os olhos da verdade. Personalidade, não, não fique em cima do muro, quem não conhece o passado não entende o futuro, não entende o futuro. Tipo assim out side, tipo assim meio pop, eu tô cagando pra essa porra de ibope. Sou quem eu sou, não sou como você quer que eu seja, assim eu sou como eu sou. Viva o rock n' roll! Viva o rock n' roll! Viva o rock n' roll! Se for fazer uma coisa faça com vontade, seja você não fure os olhos da verdade. Se for fazer uma coisa tenha personalidade, seja você não fure os olhos da verdade. Personalidade... Tiro de traçante... Tiro de trançante... Go!"
Não Uso Sapato,Charlie Brown Jr,Acústico MTV - Charlie Brown Jr.,2003,"É assim que é... Eu vou mudar, tudo que não me convém Hoje tenho tudo que eu podia querer mas, Dinheiro não é tudo tenho muito a fazer. Quem não respeita o pai, não respeita ninguém Porque um homem de verdade vai ser pai também, Ame seu pai, mesmo se ele for um porco capitalista. (Refrão) Eu não sei fazer poesia... mas que se foda!!! Eu odeio gente chique eu não uso sapato... mas que se foda!!! Hoje você pixa quem já te ajudou, E vem falando mal de quem já te fortaleceu. Mas um homem de verdade não se faz só com palavras, Você perdeu a moral e quem perdeu, perdeu. Se você pisar na bola, aí rapa você vai ser encontrado. E se você pisar na bola, aí moleque tu vai ser cobrado. (Refrão) Eu não sei fazer poesia... mas que se foda!!! Eu odeio gente chique e eu não uso sapato... mas que se foda!!! Aue, aue, aue, aue! Everybody move! Everybody move! Everybody move, move, move, move!!! (Refrão) Eu odeio hipocrisia... mas que se foda!!! Eu odeio gente chique eu não uso sapato... mas que se foda!!!"
Não Viva Em Vão,Charlie Brown Jr,"Ritmo, Ritual e Responsa",2007,"Não Viva em Vão Uma vida sem amor É uma vida sem sentido Estarei Feliz aonde for Se você estiver comigo A vida já me derrubou A vida já me deu abrigo Mas a vida já me situou Que a solidão não faz sentido Se viver requer coragem Então, Viva para ser feliz E não viva em vão Se viver requer coragem Então, Viva para ser feliz E não viva em vão Uma vida sem amor É uma vida sem sentido Estarei Feliz aonde for Se você estiver comigo A vida já me derrubou A vida já me deu abrigo Mas a vida já me situou Que a solidão não faz sentido Se viver requer coragem então Viva para ser feliz E não viva em vão Se viver requer coragem então Viva para ser feliz E não viva em vão"
Ninguém Entende Você,Charlie Brown Jr,"Ritmo, Ritual e Responsa",2007,Pare o que está fazendo agora grite alto e jogue tudo pra fora hoje é dia de celebrar o quanto falta pra essa porra de mundo acabar Seja dono do seu pensamento a felicidade está em cada momento seja dono de sua cabeça mas saiba o que dizer para falar o que pensa Você corre e corre ninguém entende você sua vida está na mão dos homens do poder papa papapapa papa papapapa papa papapapa Pra mim uma rima louca tipo o qual aprendizado que muda todo o quadro e deixa o povo ligado que a vida cobra muito sério e você não vai fingir não pode se esconder e não deve se iludir Somos herdeiros da evolução mas se o mundo é tão desumano será essa ilusão a nossa herança Não somos problemas sem solução mas se o mundo é tão desumano será essa ilusão a nossa herança
"No Desafio, Ibiraboys. A União Prevalece",Charlie Brown Jr,Nadando com os Tubarões,2000,"No desafio nego Trhon! Os skatistas estão chegando, Estão chegando os skatistas... A união prevalece Demorou a união continua, Charlie brown Jr., D Menos Crime, Rajja de Santos 1,2... 1,2... grau Sangue bom nosso sócio diz que não vai Ter pra já Pra mais vai descolar Pra mais tarde fazemos a cabeça A bola do mundo régua e compasso O mundo caminha passo a passo se você vacila caiu no laço Ficou para trás mano, aquele abraço Fumando um beck na Ilha queimando, a bomba ô Tô müito louco, maneiro, alucinado só Sangue bom vai, san-sangue bom vai, Só sangue bom, só 2000 graus, só 2000 graus, Família Charlie Brown Sangue bom, nosso sócio diz que não vai Ter pra já Pra mais vai descolar Pra mais tarde fazermos a cabeça! Norte, Sul, Leste, Oeste Vírus do rap, é a peste Cada vez mais a banca cresce Eu sou discípulo da espécie... Traaa... a treta só!"
No Passo a Passo,Charlie Brown Jr,Imunidade Musical,2005,"No passo a passo eu chego lá Minha vida é muito louca Eu não dou atenção pro que sai da sua boca Eu vou tocar em frente Porque o bonde aqui não pára Skate, Rock n' Roll, Hip-Hop, é minha cara Eu sou como sou, já falei pra todo mundo Santos é o meu lugar, Mas eu vivo pelo mundo Original rude boy on the house Original skateboard vibration Old school style We don't stop Check it all  (fonte: site oficial)"
"Nua, Linda E Inigualável",Charlie Brown Jr,"Ritmo, Ritual e Responsa",2007,"Quente como a luz Vem me exorcizar Bebe desse cálice e me faz pirar Deite que espalhe pra eu te ver gozar Deixe que se espalhe no ar Vou te escravizar Vem me exorcizar Vou te fazer pirar Quero te ver gozar A indignação nunca foi comovente Eu também tô bolado buscando sentido. Por que tanta angústia, por que tanta dor Sou um guerreiro que canta o amor Mas não deixe o amor não tenha pudor Eu quero é um clima quente Nua, linda linda inigualável Minha puta insaciável."
O Coro Vai Comê,Charlie Brown Jr,Música Popular Caiçara - Ao Vivo,2012,"Corra Vá ver o que acontece E volte aqui pra me falar O que parou a cidade inteira novamente Acordou todo mundo, mulherada Muito loca com doce na boca ! Meu tu não sabe o que aconteceu ! Os caras do charlie brown invadiram a cidade ! Chame sua mãe, seu cachorro, sua sogra, Traga todo mundo o coro vai comê ! Give up hey ! Do you really wanna do it boy Give up hey wanna do it boy Give up hey!hey!hey! Do you really wanna do it boy You got a biron bacon xotonson Give up legalize ! Travazon, rasga rasgazon Travazon heah! Não vou nem me preocupar, velha Chata vai tá lá, yeah! Eu disse: Corra Vá ver o que acontece E volte aqui pra me falar O que parou a cidade inteira novamente Acordou todo mundo, mulherada Muito loca com doce na boca ! Vamo! Meu tu não sabe o que aconteceu ! Os caras do charlie brown invadiram a cidade ! Junte sua mãe, seu cachorro e sua sogra Traga todo mundo o coro vai comê ! Meu tu não sabe o que aconteceu ! Os caras do charlie brown invadiram a cidade ! Junte sua mãe, seu cachorro e sua sogra Traga todo mundo o coro vai comê ! Give it up hey ! Do you really wanna do it boy? Give it up hey ! Do you really wanna do it boy? Give it up hey ! Give it up hey wanna do it boy? Give it up hey !hey!hey! Give it up hey wanna do it boy? Charlie brown !"
"O Dom, A Inteligência E A Voz",Charlie Brown Jr,Camisa 10 Joga Bola Até na Chuva,2009,"Faço o que gosto dessa vida e tenho as ruas para andar A morada do sossego hoje é o meu lugar Uma amizade a mais é uma saudade a menos Então se liga na responsa, um bom conceito é tudo o que temos Ligado na responsa, o rock and roll é a minha arte Se precisar de mim, tâmo aí na atividade Porque a subida é longa e o dragão é feroz Mas Deus me deu o dom, a inteligência e a voz Pra eu cantar pra você Pra eu cantar pra você Vou cantar pra você Vou cantar pra você Só o que tenho nessa vida são as ruas para andar A morada do sossego hoje é o meu lugar Recicle suas ideias para que possa prosperar Uma nova onda positiva agora vai te alimentar Então não tome mais um gole desse copo de veneno Se liga na responsa, um bom conceito é tudo o que temos Vários baseados acesos iluminam a cidade Nessa vida eu só quero amor, paz e liberdade Porque a subida é longa e o dragão é feroz Mas Deus me deu o dom, a inteligência e a voz Pra eu cantar pra você Pra eu cantar pra você Vou cantar pra você Vou cantar pra você Só o que tenho nessa vida são as ruas para andar A morada do sossego hoje é o meu lugar Pra eu cantar pra você Pra eu cantar pra você Vou cantar pra você Vou cantar pra você"
O Errado Que Deu Certo,Charlie Brown Jr,Tamo Aí na Atividade,2004,"Mudei minha história e foi melhor pra mim Nem sempre o que a vida me pede É aquilo que a vida me dá Se eu corro atrás do que é melhor pra mim Deve ser porque meu tempo de volta o seu dinheiro não traz Com o coração na mão minha mente voa livre Leve, louco, bicho solto Bem melhor, bem melhor Faça da sua vida algo melhor do que já viu e ouviu Se eu não busco a perfeição em ninguém Eu não quero que busque isso em mim Eles querem que você se sinta mal Pois assim eles se sentem bem Mas tudo que é bom me lembra você Vem comigo até o fim Mudei minha história e foi melhor pra mim Nem sempre o que a vida me pede É aquilo que a vida me dá Leve essa música Me traz um sorriso(2*) Com o coração na mão eu sou o errado que deu certo Mas quem é que é errado no mundo dos espertos Bem melhor, bem melhor Faça da sua vida algo melhor do que já viu e ouviu Se eu não busco a perfeição em ninguém Eu não quero que busque isso em mim Eles querem que você se sinta mal Pois assim eles se sentem bem Mas tudo que é bom me lembra você Vem comigo até o fim Mudei minha história e foi melhor pra mim Nem sempre o que a vida me pede É aquilo que a vida me dá Leve essa música Me traz um sorriso(2*)"
O futuro é um labirinto pra quem não sabe o que quer,Charlie Brown Jr,Imunidade Musical,2005,"Quem tem coragem se aceita como é O futuro é um labirinto pra quem não sabe o que quer Ninguém é o dono da verdade, eu lavo minhas mãos Uma corrente só estoura quando os elos são fracos Quem tem coragem se aceita como é O futuro é um labirinto pra quem não sabe o que quer Então tente se levar pra uma outra dimensão Mas não se esconda atrás de uma razão Então vai, fazer o que te faz feliz Não troque a liberdade por pura ilusão Use sua cabeça e também seu coração A vida é louca, o mundo é foda, mas nós ""tamo"" aí na luta Não vou abaixar a cabeça pra nenhum filho da puta Saber levar a vida é um contrato de bom senso Sou um ser humano, às vezes calmo, às vezes tenso O melhor da vida, sensação de liberdade Vencer no desamparo com personalidade Quem tem coragem enfrenta a situação O futuro é um labirinto pra quem não dá continuação Tenha opinião, mas não perca sua razão Não troque a realidade por pura ilusão Quem tem coragem se aceita como é O futuro é um labirinto pra quem não sabe o que quer Então tente se levar Pra uma outra dimensão Mas não se esconda atrás de uma razão Então vai, fazer o que te faz feliz Não troque a liberdade por pura ilusão Use sua cabeça e também seu coração Então vai, fazer o que te faz feliz Não troque a liberdade por pura ilusão Use sua cabeça e também seu coração Então vai, fazer o que te faz feliz Não troque a liberdade por pura ilusão Use sua cabeça e também seu coração... by Caiones!"
O Lado Certo da Vida Errada,Charlie Brown Jr,100% Charlie Brown Jr. - Abalando a Sua Fábrica,2001,"Essa aqui foi maior viagem que eu jamais vou esquecer Só família até dei ""mosh"" eu quebrei dente, eu abalei.. Tem roupa no varal Subi o morro eu fui considerado Eu não cumpri vacilação Sou cantor eu sou bondade eu sou guerreiro Eu sou o irmão O dom que Deus me deu eu dedico a vocês O dom que Deus me deu eu dedico a vocês Pra te fazer sorrir Pra te fazer cantar Pra te fazer viver Pra te fazer sonhar (x2) O dom que Deus me deu eu dedico a vocês O dom que Deus me deu eu dedico a vocês Essa aqui foi maior viagem que eu jamais vou esquecer Só família até dei ""mosh"", eu quebrei dente, eu abalei Tem roupa no varal Subi o morro eu fui muito bem tratado Eu não cumpri vacilação Sou cantor eu sou bondade eu sou guerreiro Eu sou o irmão O dom que Deus me deu eu dedico a vocês O dom que Deus me deu eu dedico a vocês Pra te fazer sorrir Pra te fazer cantar Pra te fazer viver Pra te fazer sonhar (x2) O dom que Deus me deu eu dedico a vocês O dom que Deus me deu eu dedico a vocês Só família, Charlie Brown!"
